Date/time,PM10 [ug/m3],PM2.5 [ug/m3],TEMP [C]
2021-04-29 22:05:00+02:00,3.86,3.86,10.4
2021-04-29 22:10:00+02:00,7.25,5.41,10.3
2021-04-29 22:15:00+02:00,12.19,9.06,10.3
2021-04-29 22:20:00+02:00,4.19,4.19,10.3
2021-04-29 22:25:00+02:00,3.34,3.34,10.3
2021-04-29 22:30:00+02:00,4.36,4.14,10.2
2021-04-29 22:35:00+02:00,12.89,8.85,10.3
2021-04-29 22:40:00+02:00,4.19,3.19,10.4
2021-04-29 22:45:00+02:00,2.71,2.71,10.3
2021-04-29 22:50:00+02:00,5.72,5.72,10.4
2021-04-29 22:55:00+02:00,17.97,12.11,10.4
2021-04-29 23:00:00+02:00,3.22,3.22,10.4
2021-04-29 23:05:00+02:00,6.62,5.89,10.3
2021-04-29 23:10:00+02:00,3.23,3.23,10.4
2021-04-29 23:15:00+02:00,3.36,3.36,10.4
2021-04-29 23:20:00+02:00,3.14,3.14,10.4
2021-04-29 23:25:00+02:00,3.46,3.46,10.3
2021-04-29 23:30:00+02:00,6.31,6.31,10.3
2021-04-29 23:35:00+02:00,2.2,2.2,10.3
2021-04-29 23:40:00+02:00,3.39,3.39,10.3
2021-04-29 23:45:00+02:00,10.44,7.4,9.9
2021-04-29 23:50:00+02:00,8.12,7.32,9.9
2021-04-29 23:55:00+02:00,6.99,6.99,9.8
2021-04-30 00:00:00+02:00,4.03,4.03,9.8
2021-04-30 00:05:00+02:00,13.81,12.02,9.8
2021-04-30 00:10:00+02:00,16.27,11.6,9.8
2021-04-30 00:15:00+02:00,7.96,6.41,9.9
2021-04-30 00:20:00+02:00,11.02,11.02,10.0
2021-04-30 00:25:00+02:00,9.05,9.05,10.1
2021-04-30 00:30:00+02:00,6.39,6.0,10.1
2021-04-30 00:35:00+02:00,11.95,11.18,10.2
2021-04-30 00:40:00+02:00,15.42,12.04,10.1
2021-04-30 00:45:00+02:00,7.94,7.23,10.1
2021-04-30 00:50:00+02:00,12.47,9.3,10.1
2021-04-30 00:55:00+02:00,8.65,7.92,10.0
2021-04-30 01:00:00+02:00,6.69,6.69,10.1
2021-04-30 01:05:00+02:00,9.62,6.88,10.0
2021-04-30 01:10:00+02:00,6.85,6.85,10.1
2021-04-30 01:15:00+02:00,11.99,9.86,10.2
2021-04-30 01:20:00+02:00,10.63,8.28,10.1
2021-04-30 01:25:00+02:00,,,
2021-04-30 01:30:00+02:00,12.11,9.33,10.1
2021-04-30 01:35:00+02:00,5.87,4.94,10.1
2021-04-30 01:40:00+02:00,6.92,6.18,10.0
2021-04-30 01:45:00+02:00,11.45,8.48,9.9
2021-04-30 01:50:00+02:00,12.54,12.54,9.8
2021-04-30 01:55:00+02:00,4.52,4.52,9.8
2021-04-30 02:00:00+02:00,6.01,6.01,9.8
2021-04-30 02:05:00+02:00,8.97,7.17,9.7
2021-04-30 02:10:00+02:00,8.99,8.62,9.7
2021-04-30 02:15:00+02:00,8.63,6.98,9.8
2021-04-30 02:20:00+02:00,12.78,10.03,9.7
2021-04-30 02:25:00+02:00,5.19,5.19,9.8
2021-04-30 02:30:00+02:00,9.19,8.18,9.8
2021-04-30 02:35:00+02:00,13.16,8.43,9.8
2021-04-30 02:40:00+02:00,12.73,9.96,9.8
2021-04-30 02:45:00+02:00,11.8,8.89,9.8
2021-04-30 02:50:00+02:00,8.08,5.77,9.7
2021-04-30 02:55:00+02:00,5.8,5.8,9.6
2021-04-30 03:00:00+02:00,8.81,6.58,9.5
2021-04-30 03:05:00+02:00,9.33,7.17,9.6
2021-04-30 03:10:00+02:00,9.79,9.42,9.5
2021-04-30 03:15:00+02:00,,,
2021-04-30 03:20:00+02:00,9.17,7.22,9.4
2021-04-30 03:25:00+02:00,8.99,8.99,9.3
2021-04-30 03:30:00+02:00,7.07,5.89,9.2
2021-04-30 03:35:00+02:00,18.01,12.78,9.2
2021-04-30 03:40:00+02:00,7.49,6.65,9.1
2021-04-30 03:45:00+02:00,10.03,10.03,9.0
2021-04-30 03:50:00+02:00,11.83,9.55,8.9
2021-04-30 03:55:00+02:00,8.48,7.26,8.9
2021-04-30 04:00:00+02:00,6.27,6.1,8.9
2021-04-30 04:05:00+02:00,13.89,10.2,9.0
2021-04-30 04:10:00+02:00,10.71,10.71,8.9
2021-04-30 04:15:00+02:00,8.35,6.9,8.8
2021-04-30 04:20:00+02:00,7.59,6.56,8.9
2021-04-30 04:25:00+02:00,19.56,16.2,8.9
2021-04-30 04:30:00+02:00,20.03,15.89,8.9
2021-04-30 04:35:00+02:00,5.2,5.2,8.9
2021-04-30 04:40:00+02:00,8.89,8.89,8.8
2021-04-30 04:45:00+02:00,12.9,10.72,8.6
2021-04-30 04:50:00+02:00,6.99,6.99,8.6
2021-04-30 04:55:00+02:00,9.28,8.31,8.7
2021-04-30 05:00:00+02:00,7.59,7.59,8.7
2021-04-30 05:05:00+02:00,16.69,14.67,8.8
2021-04-30 05:10:00+02:00,8.0,8.0,8.8
2021-04-30 05:15:00+02:00,10.01,10.01,8.8
2021-04-30 05:20:00+02:00,7.03,7.03,8.8
2021-04-30 05:25:00+02:00,7.07,7.07,8.8
2021-04-30 05:30:00+02:00,11.34,10.18,8.7
2021-04-30 05:35:00+02:00,11.2,9.1,8.6
2021-04-30 05:40:00+02:00,17.55,13.22,8.6
2021-04-30 05:45:00+02:00,,,
2021-04-30 05:50:00+02:00,17.01,13.46,8.4
2021-04-30 05:55:00+02:00,13.16,13.16,8.5
2021-04-30 06:00:00+02:00,9.15,7.78,8.5
2021-04-30 06:05:00+02:00,12.54,10.34,8.6
2021-04-30 06:10:00+02:00,13.16,12.02,8.6
2021-04-30 06:15:00+02:00,10.9,10.9,8.6
2021-04-30 06:20:00+02:00,18.95,15.56,8.6
2021-04-30 06:25:00+02:00,13.05,11.76,8.7
2021-04-30 06:30:00+02:00,12.8,11.65,8.8
2021-04-30 06:35:00+02:00,8.25,7.4,8.9
2021-04-30 06:40:00+02:00,7.95,7.95,9.0
2021-04-30 06:45:00+02:00,13.98,13.98,9.2
2021-04-30 06:50:00+02:00,12.99,11.04,9.2
2021-04-30 06:55:00+02:00,10.24,9.44,9.3
2021-04-30 07:00:00+02:00,21.87,14.95,9.3
2021-04-30 07:05:00+02:00,16.96,14.37,9.1
2021-04-30 07:10:00+02:00,14.56,14.56,9.3
2021-04-30 07:15:00+02:00,20.19,19.48,9.3
2021-04-30 07:20:00+02:00,13.95,11.62,9.6
2021-04-30 07:25:00+02:00,12.37,10.18,9.6
2021-04-30 07:30:00+02:00,9.94,8.26,9.6
2021-04-30 07:35:00+02:00,7.26,7.26,9.7
2021-04-30 07:40:00+02:00,8.59,8.59,9.8
2021-04-30 07:45:00+02:00,17.61,14.65,9.9
